,org,repo,ref,pageviews,unique_pageviews
2491,EmanuelFontelles,algorithmDataStructure.git,master,12,12
2492,ericrosenbrown,PythonTutorial,master,12,7
2493,f-kvh,my-first-binder,master,12,12
2494,fbkarsdorp,python-course,master,12,12
2495,fchatelain,ExamplesIntro1A.git,master,12,12
2496,fchatelain,ExamplesIntro1A.git,master,12,12
2497,flatironinstitute,mountainsort_examples,master,12,12
2498,fumitoh,mls2018-demo,master,12,12
2499,bonomib,mlTeachings,dev,12,12
2500,bonomib,mlTeachings,master,12,12
2501,bonomib,mlTeachings,master,12,12
2502,GeOnoveva,Taxon_Naming,master,12,10
2503,GeostatsGuy,interactive_geostatr,master,12,9
2504,ingerhot,my_binder,master,12,3
2505,IntroGM,2018,master,12,12
2506,IntroGM,2018,master,12,12
2507,IntScale,IntScale_Data_Science,Testin,12,5
2508,ipb-halle,GoldenMutagenesis,binder,12,12
2509,jakevdp,pdvega,master,12,12
2510,JeremyPike,RSMLM-tutorials,23627c2,12,12
2511,jerome-barth,courspython3,master,12,12
2512,jh3863,M1_TS,master,12,12
2513,jlinGG,yellowbrick,develop,12,12
2514,jmmease,plotly_ipywidget_notebooks,master,12,12
2515,joergbrech,tigl-tutorials,master,12,12
2516,jonititan,AircraftDesign,master,12,11
2517,jupyter-widgets,ipyleaflet,0.6.8-binder,12,12
2518,jupyterlab,jupyterlab-demo,master,12,12
2519,KAPSARC,blockchain-electricity-markets,master,12,12
2520,kelvin1020,orbit,master,12,12
2521,kmader,tangent_conv,patch-1,12,12
2522,krisreyes,mdi-504-lecture2,master,12,12
2523,krisreyes,mdi504-lecture10,master,12,12
2524,kth-desa,pyonsset-jupyter,master,12,12
2525,lalwanigunjan,Advances-in-Data-Sciences,master,12,12
2526,letsop,cemone,master,12,12
2527,Lindt8,SHAEDIT,master,12,12
2528,magland,notebooks,master,12,5
2529,maj4e,jupyter_notebooks,master,12,12
2530,markusschanta,talks,master,12,12
2531,matth1446,TPE2018,master,12,10
2532,matthewfeickert,R-in-Jupyter-with-Binder,master,12,12
2533,meatballs,sql_python_notebooks,master,12,12
2534,mforbes,binder_quantum_random_walk,master,12,9
2535,MIDS-INFO-W18,Drills,master,12,12
2536,mrcartoonster,I_want_to_belive,master,12,12
2537,mwouts,notebooks,master,12,12
2538,mwouts,scikit-learn,master,12,12
2539,naronald,jupyter-test,master,12,12
2540,neuroneuro15,scipycourse2016,master,12,12
2541,niksterg,pyTOV,master,12,12
2542,nteract,examples,master,12,12
2543,nteract,examples,master,12,12
2544,nteract,vdom,master,12,12
2545,nuest,reproducible-research-and-giscience,tinytex,12,12
2546,ocefpaf,2018-SciPy-talk,gh-pages,12,12
2547,OpenDataLiteracy,OpenDataAlliance-KM,master,12,12
2548,oreillymedia,binder-support-vector-machines,master,12,12
2549,osv-team,pyosv-binderhub,master,12,5
2550,Petlja,JupyterPrirucnik.git,master,12,12
2551,PGE383-HPC,live_lectures,master,12,12
2552,piever,SputnikApp,master,12,12
2553,PmagPy,PmagPy-notebooks,master,12,12
2554,QCB-Collaboratory,W17.MachineLearning,master,12,12
2555,QuantStack,xplot,0.4.0-binder2,12,12
2556,QuantStack,xtensor-io,stable,12,12
2557,quaquel,lake_problem,master,12,12
2558,ramiruhayel,jupyter-notebooks,master,12,12
2559,rmcl,602-mb-metabolic-model,master,12,12
2560,rnurindr,EM_test1,master,12,12
2561,roeselert,DataScienceEducation,master,12,12
2562,sbl-sdsc,mmtf-proteomics,master,12,12
2563,sergiourjc,borrar,master,12,12
2564,sfsheath,heath-lod-cookbook,master,12,12
2565,simpeg-research,heagy_2018_AEM,master,12,10
2566,sjoerddehaan,mnist_flip,master,12,12
2567,Smezmond,Molecular_Simulation_Part1,master,12,12
2568,SofianeB,Training.git,master,12,12
2569,soil-water-atmosphere,notebooks,master,12,12
2570,sphinx-gallery,sphinx-gallery.github.io,master,12,11
2571,takanakahiko,data_analysis_samples,master,12,10
2572,thakremanas,test,master,12,12
2573,tonyfast,pytest-notebook-import,master,12,12
2574,alentina-s,pyFlyEye,master,12,12
2575,WamdamProject,WaMDaM_JupyteNotebooks,master,12,12
2576,wenegrat,Notebooks,master,12,5
2577,wildtreetech,advanced-computing-2018,master,12,12
2578,wochristian,JupyterExamples.git,master,12,12
2579,wzamlynny,data_science_workshop,master,12,11
2580,x-calibre,FITS-tables,master,12,12
2581,yandexdataschool,Practical_DL,fall17,12,12
2582,YannickJadoul,Parselmouth,master,12,12
2586,AaronWatters,jp_proxy_widget,master,11,11
2587,adrienpacifico,altair,master,11,11
2588,aeferreira,da_notebooks,master,11,11
2589,agahkarakuzu,trsecim,master,11,11
2590,alecpm,ngs2-cycle2-pilot-data,replay2,11,11
2591,alexgoodell,uganda-model,master,11,8
2592,alexlib,openpiv-python-example,master,11,11
2593,alping,simulation,master,11,11
2594,annefou,shyft-doc,master,11,2
2595,AnnikaLau,zurich-bikes.git,master,11,11
2596,anofox,m3_konferenz,master,11,11
2597,Atashnezhad,Data-Science-Notebook,master,11,11
2598,aterrel,pydata101,master,11,11
2599,banilo,inf_vs_pred_2018,r0_bioRxi,11,11
2600,BauerLab,GT-scan2-Notebooks,master,11,11
2601,bentut,bdac1-graduation,master,11,11
2602,benureau,recode,master,11,11
2603,binder-examples,apt_install,master,11,11
2604,bjmorgan,python_in_chemistry,master,11,11
2605,bjmorgan,python_in_chemistry,master,11,11
2606,boazkat,TestBinder,master,11,11
2607,boileaum,cours-python,master,11,11
2608,brian-team,brian2-binder,master,11,9
2609,brian-team,brian2-binder,master,11,11
2610,brianspiering,naive-bayes-text-classification,master,11,11
2611,BruceSherwood,vpython-jupyter,master,11,11
2612,choldgraf,textbooks-with-jupyter,master,11,11
2613,comboner,statistik_testat.git,demo,11,11
2614,CoolSciGuy,GUI2,master,11,11
2615,costrouc,mse-machinelearning-notebooks,master,11,11
2616,csimth335,MTH335,master,11,11
2617,daniellacosse,programming-101,master,11,11
2618,DARIAH-DE,Topics,master,11,11
2619,DataInstitute,test,master,11,11
2620,datakurre,robotkernel,binderize,11,11
2621,datakurre,robotkernel,master,11,11
2622,DavidMStraub,wilson-notebooks,master,11,11
2623,davidrpugh,evolution-of-social-behavior,master,11,10
2624,deathbeds,wtf,master,11,11
2625,devvyn,aafc-field-data,master,11,10
2626,diyclassics,dcl-2018-talk,master,11,11
2627,djkormo,PythonForML,master,11,11
2628,djsegal,fusion-binder,master,11,11
2629,dk81,jupyterNotebook,master,11,11
2630,dmollaaliod,LTG2018_07,master,11,11
2631,dpploy,cortix-nb,master,11,11
2632,egunawan,icerm18,master,11,11
2633,eresearchrmit,resolvepids.git,master,11,11
2634,fchollet,deep-learning-with-python-notebooks,master,11,4
2635,feststelltaste,software-analytics,master,11,10
2636,fomightez,binderized-ridgeline,master,11,11
2637,bonomib,mlTeachings,master,11,11
2638,bonomib,mlTeachings,master,11,5
2639,GLAM-Workbench,glam-workbench-presentations,master,11,11
2640,lue-viz,glue-jupyter,master,11,11
2641,HealthINCITE,challenges,master,11,11
2642,HeidiSeibold,zurich-bikes,master,11,11
2643,ICRAR,schools_learning_python.git,master,11,11
2644,IlyaKisil,tensorly,binder,11,11
2645,industrial-optimization-group,desdeo-vis,4695813,11,11
2646,info-ruc,google-cn,master,11,8
2647,IntroGM,2018,master,11,11
2648,islast,brainnetworksinpython,master,11,11
2649,ISWBenjaminKaiser,sTdwzm,master,11,11
2650,jamesmyatt,jupyter-demo,master,11,11
2651,jedrek1993,Regresja,master,11,11
2652,JeppeDruedahl,EGM,master,11,11
2653,jerome-barth,constitution-classes,master,11,11
2654,jerome-barth,Proba1reES,master,11,6
2655,jkanner,test-odw,master,11,8
2656,joepatmckenna,fem,master,11,11
2657,joertlin,sim_doe,master,11,11
2658,joh06288,dsenv,master,11,11
2659,josephofiowa,GA-DSI,master,11,9
2660,jzf2101,intro_rl,master,11,11
2661,katilp,cms-data-popularity,master,11,11
2662,kenzieacademy,python-notebooks,master,11,11
2663,KirstieJane,BrainsForPublication,master,11,11
2664,kmcquighan,calc-ii-numerical-methods,master,11,11
2665,LGSInnovations,JupyterSigplot,master,11,11
2666,lirpaCat,capstone,master,11,10
2667,LittleBeannie,interactive-slides_R2,master,11,11
2668,lmoresi,miller-moho-binder,master,11,11
2669,LoLab-VU,JARM,master,11,11
2670,maartenbreddels,ipywebrtc,master,11,11
2671,mareis,ProgX-1819,master,11,11
2672,martinomaris,PHYS113,master,11,11
2673,marvinf95,vtna_frontend,master,11,7
2674,mbrukman,autogen,ipynb-support,11,11
2676,merryjman,astronomy,master,11,11
2677,mfouesneau,pyphot,master,11,11
2678,middleware2018-PSS,BigData,plots,11,11
2679,mitevpi,JupyterResources,master,11,10
2680,navoret,L3Magistere,master,11,11
2681,nhdaly,nhdaly.github.io,master,11,11
2682,norvig,pytudes,master,11,11
2683,ocoudray,project-stats-temperatures,master,11,9
2684,openfisca,openfisca-tunisia,master,11,10
2685,oyramn,Reproducible-and-FAIR-statistical-analysis-on-NHANES-data,master,11,11
2686,pdavegit,analysis,master,11,11
2687,pedrosiracusa,bios,gh-pages,11,8
2688,PierreMarion23,jupyter-widget-drawing-pad-binder,master,11,9
2689,PrACiDa,intro_ciencia_de_datos,master,11,11
2690,prescience-decision-solution,coursera-machine-learning-AndrewNg-Python,master,11,4
2691,puruckertom,dsmcmc,master,11,11
2692,qiaodao,resources,master,11,11
2693,qingkaikong,20180430_ANN_basics_DLab,master,11,11
2694,qMRLab,t1_notebooks,irblog,11,11
2695,qqep685d,binder_test,master,11,11
2696,QuantStack,xleaflet,0.2.1-binder,11,11
2697,QuantStack,xwidgets,0.7.1-binder,11,10
2698,rlabbe,kalman-and-Bayesian-Filters-in-Python,master,11,11
2699,RobInLabUJI,ROS-Tutorials,turtlesim,11,11
2700,sanmitraghosh,P2M2,master,11,11
2701,scikit-hep,awkward-array,0.0.4,11,11
2702,scikit-learn,scikit-learn.github.io,test-binder,11,11
2703,scottyhq,landsat-aws-demo,v1.0,11,11
2704,scottyhq,votw,v1.0,11,11
2705,sdiether,siml,master,11,11
2706,sean-parent,notebook,master,11,11
2707,sfu-natlang,pe-decipher,master,11,11
2708,shuaibiyy,ford-gobike,master,11,11
2709,ShuanWu,backup.git,master,11,11
2710,siconos,siconos-online,master,11,8
2711,sideye,Seele-Neural-Consensus-Algorithm,master,11,11
2712,spatialaudio,nbsphinx,0.3.3,11,11
2713,sphinx-gallery,sphinx-gallery.github.io,master,11,11
2714,sphinx-gallery,sphinx-gallery.github.io,master,11,11
2715,sterlingalston,PythonForDS,master,11,7
2716,strongdan,UCSanDiegoX-DSE200x-Python-for-Data-Science,master,11,11
2717,sunpy,sunpy.org,master,11,11
2718,SylvainCorlay,voila,master,11,11
2719,synergy-twinning,summer-school-combinatorial,master,11,11
2720,timobaumann,plottingpoetry,master,11,11
2721,tlbbd-spring2018,lab_04,master,11,10
2722,tpoisot,ScientificComputingForTheRestOfUs,master,11,10
2723,trallard,ReproduciblePython.git,master,11,11
2724,trdurrant,charged-defects,master,11,11
2725,twosigma,beakerx,0.14.0,11,11
2726,twosigma,beakerx,0.15.0,11,11
2727,unh-hpc,phys407s,master,11,11
2728,unroll,notebook,master,11,11
2729,urbanows,IGSN-Notebook,master,11,11
2730,usnistgov,ChebTools,master,11,11
2731,usnistgov,fipy,develop,11,11
2732,r140,intro-deep-learning,master,11,11
2733,ubiostat,swc_workshop,master,11,11
2734,w201rdada,final,master,11,4
2735,WamdamProject,JupyteNotebooks,master,11,11
2736,WamdamProject,WaMDaM_JupyteNotebooks,master,11,11
2737,WamdamProject,WaMDaM_JupyteNotebooks,master,11,11
2738,WatPro,binder-workspace,master,11,11
2739,WatPro,binder-workspace,master,11,3
2740,wenzeslaus,geospatial-modeling-course-jupyter,master,11,11
2741,wesm,pydata-book,2nd-edition,11,11
2742,widap,widap_dashboard,master,11,11
2743,wikicite,wikidata-lemmas,master,11,11
2744,wildart,CSCI271,master,11,11
2745,wildtreetech,explore-open-data,master,11,10
2746,witekdev,ngs2-cycle2-pilot-data,replay4,11,11
2747,wshuyi,demo-python-chinese-word-embedding,master,11,11
2748,zaspel,teaching.git,master,11,11
2751,abetlen,PythonForScientistsWorkshop,master,10,7
2752,adamscholefield,shapefrombandwidth,master,10,10
2753,aforechi,ifes_alg_2018_2,master,10,10
2754,aforechi,ifes-cpp,master,10,10
2755,aforechi,ifes-num-2018-2,marter,10,10
2756,AgrinessEdgeIoT,dashboard-prototype,master,10,10
2757,albop,speech_writer.git,master,10,10
2758,alexdebrie,binder-example,master,10,10
2759,aloctavodia,Statistical-Rethinking-with-Python-and-PyMC3,master,10,6
2760,amabdallah,Reproducibility_Notebooks,master,10,10
2761,amabdallah,Reproducibility_Notebooks,master,10,10
2762,amaliestokholm,gammacephei,master,10,7
2763,anofox,m3_konferenz,master,10,10
2764,anofox,m3_konferenz,master,10,10
2765,astropy,astropy-tutorials,master,10,10
2766,astropy,astropy-tutorials,master,10,9
2767,augeas,NeverMindTheMolluscs,master,10,10
2768,avidan-efody,coverage-demo,master,10,8
2769,banesullivan,LearnPy,master,10,10
2770,betatim,tbd-nets,binder,10,10
2771,BhallaLab,moose-binder,master,10,10
2772,bicv,LogGabor,master,10,4
2773,binder-examples,jupyter-extension,master,10,8
2774,bjmorgan,python_in_chemistry,master,10,10
2775,boazkat,TestBinder,master,10,10
2776,charlesfrye,AppliedStatisticsForNeuroscience,master,10,4
2777,chikaj,learn_python,master,10,5
2778,choldgraf,makeitpop,master,10,10
2779,CINERGI,jupyter-cinergi.git,master,10,10
2780,cms-opendata-education,cms-online-notebooks-for-binder,master,10,10
2781,CoAxLab,AdaptiveDecisionMaking_2018,master,10,10
2782,Coleridge-Initiative,precourse-python,master,10,10
2783,crstn,MigrationDataAnalysis,master,10,10
2784,Dallinger,ngs2-cycle2-pilot-data,master,10,10
2785,danieljdenman,binder,master,10,10
2786,dasaptaerwin,timeseries_ckp,master,10,10
2787,davidmeunier,Terminale-S,master,10,10
2788,DCgov,enterprise-dataset-inventory,master,10,8
2789,dcos-labs,data-science,master,10,10
2790,djarecka,nipype_tutorial,tmp_binder,10,1
2791,dlabctawg,ungdc,master,10,8
2792,dnicolasespinoza,GeomechanicsJupyter,master,10,10
2793,donaldrauscher,fake-news,master,10,10
2794,drillan,option,master,10,9
2795,drvinceknight,gt,master,10,10
2796,drvinceknight,gt,master,10,10
2797,drvinceknight,gt,master,10,10
2798,ds-modules,COGSCI-1B,master,10,10
2799,eds-uga,cbio4835-fa18,master,10,10
2800,ellisonbg,ipyleaflet,master,10,7
2801,EmanuelFontelles,machineLearning.git,master,10,10
2802,expectopatronum,test-mybinder,master,10,10
2803,eXtremeGravityInstitute,LISA Sensitivity,master,10,8
2804,fomightez,dockerfile-rstudio,master,10,10
2805,fonnesbeck,PyMC3_DataScienceLA,master,10,10
2806,adenbuie,tidy-animated-verbs,master,10,10
2807,ammapy,gammapy-extra,master,10,10
2808,bonomib,mlTeachings,dev,10,10
2809,bonomib,mlTeachings,master,10,10
2810,bonomib,mlTeachings,master,10,10
2811,bonomib,mlTeachings,master,10,10
2812,eoscixyz,gpgLabs,magnetic_applet,10,10
2813,eoscixyz,gpgLabs,master,10,10
2814,ingerhot,tensorflow-notebook-binder,master,10,10
2815,iovannipizzi,educational-scientific-visualizations,master,10,10
2816,khays,notebooks,master,10,10
2817,lennparham,crypto_notebook,master,10,9
2818,cchengithub,project-k,master,10,7
2819,ep-ipython-tools,example-notebooks,master,10,10
2820,lokavarapu,UCD-Carbon-WebPage.git,master,10,10
2821,owl-anderson,q_learning_demo,master,10,10
2822,IlyaKisil,inns-2019,master,10,10
2823,industrial-optimization-group,desdeo-vis,master,10,10
2824,ivanamik,my-first-binder,master,10,10
2825,j1z0,iot_course,master,10,10
2826,jckantor,Antoine-Database,master,10,8
2827,jennhu,pdox,master,10,10
2828,jerome-barth,Cours,master,10,10
2829,joaopcnogueira,Shapefiles.git,master,10,10
2830,joocheolkim,binderproject,master,10,10
2831,joommf,oommfc,master,10,10
2832,jrzech,replicate-chexnet,master,10,10
2833,jupyter,notebook,master,10,10
2834,jupyterlab,jupyterlab-demo,master,10,10
2835,kdarnell,solid-inclusion,master,10,10
2836,kk7nc,HDLTex,master,10,7
2837,kk7nc,RMDL,master,10,10
2838,kmader,quantitative-big-imaging-2018,master,10,8
2839,kmahorker,PyRTL,mybinder-,10,10
2840,kokbent,cool-new-project.git,master,10,10
2841,kwinkunks,ecim2018,master,10,10
2842,lalwanigunjan,Advances-in-Data-Sciences,master,10,4
2843,laurentperrinet,bayesianchangepoint,master,10,4
2844,LeMasters,Jupyter_Tutyr,master,10,7
2845,lirpaCat,capstone2,master,10,10
2846,lizhengwei1992,ipad_python_girfriend,master,10,10
2847,lknelson,reproducibility-example,master,10,9
2848,Lolologist,nameymcnameface,master,10,10
2849,lrhgit,uqsa_tutorials,master,10,9
2850,lucask07,teaching-notebooks,master,10,10
2851,lucydot,feed-your-python,master,10,10
2852,maartenbreddels,ipyvolume,d944e37,10,10
2853,MaayanLab,join-issues,master,10,10
2854,mahf93,zurich-bikes,master,10,10
2855,MarianaJBr,Fisica-I-Praxis,master,10,10
2856,Mark-Kramer,Case-Studies-Python,master,10,8
2857,martindurant,intake-release-blog,master,10,10
2858,marwahaha,ZZ-FORK-python-novice-inflammation,gh-pages,10,10
2859,masedki,moocRchap02,master,10,9
2860,MatsGustavsson,finance-jupyter,master,10,10
2861,maumueller,intro_to_programming,master,10,10
2862,MIDS-INFO-W18,Drills,master,10,10
2863,MingChen0919,learning-apache-spark,master,10,6
2864,minrk,ligo-binder,master,10,10
2865,miykael,create_fake_fmri_results,master,10,8
2866,mlamoureux,Callysto,master,10,9
2867,mlds-lab,ml-demos,master,10,10
2868,mmoelter,Phys133,master,10,6
2869,mrled,jupyter-mortgage,master,10,9
2870,mxxk,blank-jupyter,master,10,10
2871,nassarhuda,julia_python_notebooks,master,10,10
2872,NCBI-Hackathons,PrIMP,master,10,10
2873,NEXTCanada,NextAI-MachineLearning,master,10,7
2874,nicoguaro,AdvancedMath,master,10,10
2875,nteract,examples,master,10,10
2876,ntrum,Finite-Elements,master,10,10
2877,opengridcc,opengrid-demo,master,10,8
2878,PaloAltoNetworks,pancloud-tutorial,master,10,10
2879,paulo-raca,mo810-stock-predict,master,10,10
2880,PBrockmann,ipython_ferretmagic,master,10,10
2881,pcsiguerin,ipt,master,10,10
2882,PGE383-HPC,live_lectures,master,10,10
2883,PGE383-HPC,live_lectures,master,10,10
2884,pierrelachevre18,Widap_Release,master,10,10
2885,PierreMarion23,latbuilder,release,10,10
2886,PMEAL,porespy-examples,notebooks,10,10
2887,princetoncompmemlab,debettencourt_realtimebehav,master,10,10
2888,pums974,formation_python,master,10,8
2889,pyiron,pyiron-docker,binder,10,7
2890,QuantStack,xeus-cling,0.2.2,10,6
2891,QuantStack,xleaflet,0.2.0,10,10
2892,QuantStack,xwebrtc,stable,10,10
2893,quinot,echo_kernel,master,10,3
2894,RailProfAC,ifvMiniWorkshop,master,10,5
2895,raxrei,disummit2018.git,master,10,10
2896,reproducible-notebooks,dust_bowl.git,master,10,10
2897,reproducible-notebooks,ERDDAP_glider_search,master,10,7
2898,reproducible-notebooks,ERDDAP_timeseries_explorer,master,10,10
2899,reproducible-notebooks,Tides_TriMesh_Datashader,master,10,7
2900,rhiever,Data-Analysis-and-Machine-Learning-Projects,master,10,10
2901,rmorshea,purly,master,10,10
2902,RobInLabUJI,ROS-Tutorials,kinetic,10,4
2903,RustyVermeer,tryCQ,widget-fix,10,10
2904,sasa-buklijas,coin_toss,master,10,10
2905,sasa-buklijas,Monty_Hall_problem,master,10,10
2906,sbl-sdsc,sifts-columnar,master,10,10
2907,schlegelp,pyMaid,master,10,10
2908,scikit-hep,histbook,master,10,10
2909,sebastiandres,mat281_m01_introduccion,master,10,10
2910,sfsheath,heath-lod-cookbook,master,10,10
2911,sgmarkets,sgmarkets-notebooks,master,10,10
2913,shimshir,data-science,master,10,10
2914,simpeg-research,heagy_2018_emcyl,master,10,10
2915,Soranzo,Essai,master,10,10
2916,spacetelescope,wfirst-tools.git,master,10,10
2917,sphinx-gallery,sphinx-gallery.github.io,master,10,10
2918,stat4decision,CNAM-ProBTP,master,10,4
2919,StingraySoftware,notebooks,master,10,10
2920,sumandoc,R-for-thesis,master,10,10
2921,tccw,geotools,AVOtutorial,10,10
2922,tccw,geotools,master,10,8
2923,tccw,geotools,master,10,10
2924,theyellowdog,computational-physics,master,10,10
2925,tlbbd-spring2018,lab_07,master,10,8
2926,twosigma,beakerx,0.16.0,10,10
2927,ubcgif,gpgLabs,master,10,10
2928,ubcgif,gpgLabs,master,10,10
2929,udaylunawat,Football-Data-Analysis-and-Prediction,master,10,10
2930,usuario,ExamenFinal_Metodos,master,10,10
2931,walexi,deep-learning-algorithms,master,10,5
2932,wesm,pydata-book.git,2nd-edition,10,10
2933,XGreenX99,Notebook,master,10,10
2934,yordlejason,test,master,10,10
2935,yyu,jupyter_scratchbook,master,10,10
2936,zacpdx,Final,master,10,6
2937,zelizpriest,titanic_check,master,10,6
2944, AllenDowney,ThinkDSP,master,9,8
2945,4QuantOSS,lucid,master,9,3
2946,a32940,tp3_sma.git,master,9,9
2947,aforechi,ifes-num-2018-2,master,9,9
2948,ai201802u1,001_test,master,9,9
2949,airlinecos,prova_binder,master,9,9
2950,AllenDowney,ProbablyOverthinkingIt,master,9,9
2951,AnnaMatuszynska,trial.git,master,9,9
2952,arveev,is5006-group-assignment-1,master,9,9
2953,arvkevi,kneed,master,9,9
2954,ASamarkRoth,gammalab_analysis,master,9,8
2955,bkaplowitz,MCMC-TS,master,9,9
2956,blabatt,vesta-roi,master,9,9
2957,boazbk,nandnotebooks,master,9,9
2958,bokeh,bokeh-notebooks,master,9,4
2959,brian-team,brian2-binder,master,9,8
2960,bwrsandman,learningpython,master,9,9
2961,callysto,callysto-sample-notebooks.git,master,9,9
2962,Calysto,calysto_scheme,master,9,9
2963,Casyfill,internal_blog,master,9,9
2964,Cavatica2,Code.git,master,9,9
2965,cdgreenidge,leabra7,master,9,9
2966,cerisola,fisica2-uba,master,9,9
2967,chekan-o,python-test,master,9,9
2968,chestrays,jupyanno,better-zoom-drag-contrast,9,9
2969,chestrays,jupyanno,comment-field,9,9
2970,choldgraf,bids_format_survey,master,9,9
2971,choldgraf,demo-julia,master,9,9
2972,clelange,hepdata_lib,master,9,9
2973,clelange,hepdata_lib,master,9,9
2974,cmbant,camb,master,9,8
2975,cms-opendata-education,cms-jupyter-materials-english,master,9,9
2976,cms-opendata-education,cms-jupyter-materials-finnish,master,9,9
2977,CodyDBrown,Physics-331,master,9,9
2978,CompLogicEss,SetsSubsets,master,9,9
2979,costrouc,knoxville-opendata-notebooks,master,9,9
2980,DanWebster,crispr_screen_sgRNAs,master,9,9
2981,dariomalchiodi,jupyterlab-binder,master,9,7
2982,data-8,materials-su18,master,9,9
2983,datacamp,datacamp_facebook_live_titanic.git,master,9,9
2984,davidchall,random-direction,master,9,8
2986,deathbeds,importnb,master,9,9
2987,deppen8,leiap_dashboard,master,9,9
2988,DevScope,ai-lab,master,9,9
2989,djsegal,webio-binder,master,9,8
2990,donnemartin,interactive-coding-challenges,master,9,9
2991,drphilmarshall,daft,master,9,9
2992,ds421,docker-tutorial,master,9,8
2993,DSSatPitt,python-twitter-bots,master,9,9
2994,econ-ark,DemARK,master,9,9
2995,egparedes,virtual_deployment_test.git,master,9,9
2996,engineersCode,EngComp1_offtheground,master,9,9
2997,erikdo,synergy-summer-school,master,9,6
2998,eschlaf2,Case-Studies-Python,master,9,5
2999,exeter-python,2018-06-beginners-workshop,master,9,9
3000,fangohr,introduction-to-python-for-computational-science-and-engineering,master,9,9
3001,fbkarsdorp,rug-coding-intro,master,9,8
3002,fdelogu,jupR-test.git,master,9,9
3003,fedeadolfi,scream_features.git,master,9,9
3004,feststelltaste,software-analytics,master,9,9
3005,fit-r2lab,r2lab-demos,master,9,8
3006,florian-wagner,agu17-pygimli-demo,master,9,7
3007,fomightez,bokeh-binder,master,9,3
3008,fomightez,jupyter_nb_basics,master,9,9
3009,fomightez,vpython-jupyter,master,9,9
3010,friedrichknuth,shared_binder_notebooks,master,9,8
3011,fumitoh,lifelib,binder,9,9
3012,fvivian,Sentinel_Datashader,master,9,7
3013,ammapy,gammapy-extra,master,9,9
3014,bonomib,mlTeachings,master,9,9
3015,bonomib,mlTeachings,master,9,9
3016,bonomib,mlTeachings,master,9,9
3017,bonomib,mlTeachings,master,9,9
3018,eoscixyz,em_apps,master,9,8
3019,alib-bello,K3D-jupyter,master,9,9
3020,itesei,Sedimentation-Lab.git,master,9,9
3021,jbex,BinderBash,master,9,9
3022,GLAM-Workbench,trove-newspapers,master,9,9
3023,oogle,or-tools,master,9,9
3024,pagliuca,pydata,master,9,8
3025,GroupeCalcul,canum-2018-nbgrader-demo,master,9,9
3026,tnx,pandas-highcharts,master,9,9
3027,GuitarsAI,AI_DeputiesSpeeches,master,9,9
3028,uyemerson,intro,master,9,8
3029,aystax-technology,long-range-extrapolation,master,9,7
3030,opelessoptimism,data-scientists-guide-apache-spark,master,9,9
3031,umberto-ortiz,ama,master,9,8
3032,ianedwardthomas,pythontutorial.git,master,9,9
3033,iceworlder,jupyter_notebook,master,9,9
3034,imaging-tools,ivvv,master,9,9
3035,IntroGM,2018,master,9,9
3036,ipython,ipython-in-depth,master,9,2
3037,ipython,ipython-in-depth,master,9,9
3038,JackCaster,Intro_to_PyMC3,master,9,9
3039,jenfly,jupyter-quickstart,master,9,9
3040,jhamman,xarray_tutorial,master,9,9
3041,jochym,abinitio-workshop,master,9,8
3042,john15063,binder_trial,master,9,3
3043,JoshWilkins2013,JupyterNotebooks,master,9,8
3044,jpush1773,JupyterNotebooks.git,master,9,9
3045,jtwhite79,temp,master,9,9
3046,KenzieAcademy,python,master,9,9
3047,kfukatsu,python-github,master,9,9
3048,KhadeejaSiddique,my-first-binder,master,9,9
3049,kimbrianj,intro-python,master,9,9
3050,kjerstirise,my-first-binder,master,9,9
3051,kkamdin,soil_property_prediction_cdips2017,master,9,9
3052,krislars,astropy-tutorials,master,9,9
3053,liamtoney,sandbox,master,9,9
3054,LibCrowds,notebooks,master,9,7
3055,LittleBeannie,interactive-slides_R,master,9,9
3056,louisfu,ions_analysis,master,9,9
3057,lvwarren,fit,master,9,9
3058,MaayanLab,join-issues,master,9,9
3059,Maecenas,python-getting-started,master,9,9
3060,majid-vaghari,django-workshop,master,9,9
3061,marskar,biof518_fall2018,master,9,9
3062,matthewfeickert,Statistics-Notes,master,9,9
3063,maxprogram,basic_dl,master,9,9
3064,mcvine,training,master,9,5
3065,MichaelBurak,GWC720,master,9,9
3066,mmcky,DemARK,master,9,9
3067,molinaris,Jupyter_repository.git,master,9,9
3068,mrcartoonster,mybinders,master,9,9
3069,MrinalJain17,Human-Activity-Recognition,binder-integration,9,2
3070,MTDzi,EffectiveTensorflow,master,9,7
3071,NCBI-Hackathons,Bugs_And_Drugs,master,9,9
3072,neural-reckoning,vcn_regularity,master,9,9
3073,Neuroinflab,kCSD-python,master,9,9
3074,ntwuxc,jupyterhub,master,9,9
3075,nyudatabootcamp,materials,master,9,9
3076,o-date,abm,master,9,9
3077,ocefpaf,python_hurricane_gis_map,gh-pages,9,9
3078,olivertlord,Xtools,master,9,7
3079,OpenAstronomy,rcsc18_lessons,master,9,9
3080,openclimatedata,pymagicc,master,9,9
3081,oreillymedia,binder-feature-engineering,master,9,9
3082,orisonchan,demo-spacy-text-processing,master,9,9
3083,pakelley,content-extraction-tool,master,9,9
3084,parmentelat,RISE.git,doc2,9,9
3085,Pierian-Data,Complete-Python-3-Bootcamp,master,9,9
3086,piever,SputnikApp,master,9,9
