,org,repo,ref,pageviews,unique_pageviews
296,owl-anderson,Chinese_models_for_SpaCy,master,160,160
297,bwilk7,CMSC331,Spring2018,159,159
298,data-8,textbook,gh-pages,159,154
299,Semaine52,Semaine52Lab-Marches-Publics-et-Data-Mining,master,159,159
300,sherdim,mame,master,159,132
301,bwilk7,CMSC331,Spring2018,158,154
302,brian-team,brian2-binder,master,157,152
303,data-8,textbook,gh-pages,157,150
304,mcmartins,francy,async,157,152
305,BenjaminJamesDay,SummerSchool,master,156,156
306,cmbant,getdist,master,156,148
307,alenpe7,numerical_methods,master,156,127
308,ansible,ansible-jupyter-kernel,master,155,152
309,data-8,textbook,gh-pages,155,155
310,data-8,textbook,gh-pages,155,154
311,kmader,jupyterlab-drawio,master,155,143
312,data-8,textbook,gh-pages,154,150
313,fbidu,stairway-to-python,master,154,154
314,data-8,textbook,gh-pages,153,153
315,redvis,tropchem,master,153,153
316,ThierryMondeel,Systems_Biology_FBA_tutorial,master,153,153
317,cmsato,AnaliseAlgoritmos,master,151,151
318,data-8,textbook,gh-pages,151,151
319,data-8,textbook,gh-pages,151,150
320,data-8,textbook,gh-pages,150,150
321,davidmascharka,tbd-nets,binder,150,134
322,ettractiongmbh,nb_snippet_generator,master,150,150
323,data-8,textbook,gh-pages,149,144
324,DIYer22,boxx,master,149,149
325,PierreMarion23,jupyter-widget-hello-world-binder,master,149,139
326,data-8,textbook,gh-pages,148,148
327,dask,dask-examples,master,147,147
328,kmader,chess-alpha-zero,master,147,131
329,data-8,textbook,gh-pages,146,144
330,bhugueney,binder-test,master,145,145
331,krisreyes,mdi-504-lecture2,master,145,145
332,unh-hpc,phys407s,master,145,145
333,thunder-project,thunder-docs,master,144,138
334,ISWBenjaminKaiser,STdWZM,master,143,143
335,QuantStack,ipysheet,master,143,135
336,ai-course,searching,master,142,142
337,data-8,textbook,gh-pages,142,140
338,fonnesbeck,cqs_machine_learning,master,142,142
340,ubcgif,gpgLabs,master,142,138
