,Pageviews,Unique Pageviews,user,repo,ref
207,7,5,ctb,2016-mybinder-inflammation,master
208,7,6,data-8,textbook,gh-pages
209,7,7,data-8,textbook,gh-pages
210,7,7,data-8,textbook,gh-pages
211,7,7,data-8,textbook,gh-pages
212,7,7,data-8,textbook,gh-pages
213,7,6,dib-lab,sourmash,master
214,7,5,fonnesbeck,bios8366,master
215,7,7,heglex,gene-science,master
216,7,5,kmader,quantitative-big-imaging-2018,master
217,7,6,kmader,quantitative-big-imaging-2018,master
218,7,6,losc-tutorial,quickview,master
219,7,6,lukasmosser,jupetro,master
220,7,7,marccanby,hack-rice-tutorial,master
221,7,4,MedYassir,alignment,master
222,7,5,Microsoft,cognitive-services-notebooks,master
223,7,5,miykael,nipype_tutorial,master
224,7,4,N2ITN,GoogleMusicFavs,master
225,7,5,openpiv,openpiv-python-example,master
226,7,4,pinga-lab,paper-moho-inversion-tesseroids,master
227,7,5,psychemedia,ou-tm11n,master
228,7,4,Shivam-Miglani,ComplexNetworks,master
229,7,5,ubcgif,gpgLabs,master
230,7,5,yuvipanda,binder-1,master
231,6,6,4QuantOSS,scijava-jupyter-kernel,master
232,6,5,ASamarkRoth,gammalab_analysis,master
233,6,1,benmarwick,Persistence-of-Public-Interest-in-Gun-Control,master
234,6,2,bicv,LogGabor,master
235,6,4,BruceSherwood,vpython-jupyter,7.1.2
236,6,5,bwilk7,CMSC433,Spring2018
237,6,5,bwilk7,CMSC433,Spring2018
238,6,6,data-8,textbook,gh-pages
239,6,5,data-8,textbook,gh-pages
240,6,6,data-8,textbook,gh-pages
241,6,6,data-8,textbook,gh-pages
242,6,5,dmollaaliod,comp348-2018,master
243,6,4,elimpro,Mobile-Networks,master
244,6,3,Emaasit,data-science-culture,master
245,6,4,eXtremeGravityInstitute,LISA Sensitivity,master
246,6,3,GabrielPereyra,chess-notebook,master
247,6,5,geoffbacon,computational-text-analysis,master
248,6,6,gjbex,BinderBash,master
249,6,4,gw-odw,odw-2018,master
250,6,4,info-ruc,google-cn,master
251,6,2,kellieotto,test-book,gh-pages
252,6,4,koldunovn,python_for_geosciences,master
253,6,3,LeMasters,Jupyter_Tutyr,master
254,6,4,leouieda,agu2017,master
255,6,5,letsop,test_note,master
256,6,3,Mfhodges,Thesis,master
257,6,6,QuantStack,xtensor,master
258,6,6,rlabbe,ThinkBayes,master
259,6,3,sarath145p,jupyter_notebook_test,master
260,6,3,scikit-beam,ipywe,master
261,6,6,sisaza,informatica.git,master
262,6,6,sspickle,sci-comp-notebooks,master
263,6,3,sumandoc,miniconda,master
264,6,3,sumandoc,miniconda3,master
265,6,4,terna,SLAPP3,master
266,6,6,Tsintsuntsini,PHYS_581,master
267,6,4,yunabe,lgo-binder,master
268,5,4,4QuantOSS,DashIntro,master
269,5,4,4QuantOSS,DashIntro,master
270,5,5,agogodavid,pylabs_github,master
271,5,4,aittalam,Lorenzo,master
272,5,4,aloctavodia,Statistical-Rethinking-with-Python-and-PyMC3,master
273,5,3,angelachieh,JustML-notebooks,master
274,5,3,avidan-efody,coverage-demo,master
275,5,3,binder-examples,dockerfile-rstudio,master
276,5,3,binder-examples,jupyter-extension,master
277,5,2,bokeh,bokeh-notebooks,master
278,5,5,data-8,textbook,gh-pages
279,5,5,data-8,textbook,gh-pages
280,5,4,data-8,textbook,gh-pages
281,5,5,data-8,textbook,gh-pages
282,5,5,davidsanwald,ai-notebook,master
283,5,1,delimax,cours-debimax,master
284,5,5,everhartlab,brazil-sclerotinia-2017,master
285,5,2,fomightez,intermine-binder,master
286,5,4,gopala-kr,notebooks,master
287,5,5,gredvis,tropchem,master
288,5,5,hainm,nglview-notebooks,master
289,5,3,haystax-technology,long-range-extrapolation,master
290,5,3,idlegene,scipy-2017-tutorial-pandas,master
291,5,3,jakeret,tf_unet,master
292,5,4,johntfoster,rotation_widget,master
293,5,5,jupyterlab,jupyterlab-latex,master
294,5,1,laurentperrinet,bayesianchangepoint,master
295,5,4,LeMasters,Jupyter_Tutyr,master
296,5,3,marskar,biof309_spring2018,master
297,5,4,mcasl,TimeSeries,master
298,5,2,mpbeu,Intro,master
299,5,5,ngbusca,notebooks,master
300,5,4,ngs-docs,2018-ggg201b,master
